magnitude,stimLevel,numStims,betaLabels,sid,channel,subjectNum,phaseClass,setToDeliverPhase
438.790387273525,2.5,Base,0,d5cd55,144,1,90,180
189.707109404893,2.5,Base,0,d5cd55,144,1,90,180
144.623188676399,2.5,Base,0,d5cd55,144,1,90,180
129.370924473356,2.5,Base,0,d5cd55,144,1,90,180
208.039423088545,2.5,Base,0,d5cd55,144,1,90,180
362.297610677678,2.5,Base,0,d5cd55,144,1,90,180
91.895940055291,2.5,Base,0,d5cd55,144,1,90,180
264.219899934063,2.5,Base,0,d5cd55,144,1,90,180
244.466000717747,2.5,Base,0,d5cd55,144,1,90,180
309.518297472663,2.5,Base,0,d5cd55,144,1,90,180
202.650663673155,2.5,Base,0,d5cd55,144,1,90,180
163.938057718116,2.5,Base,0,d5cd55,144,1,90,180
253.851367332003,2.5,Base,0,d5cd55,144,1,90,180
214.951162669468,2.5,Base,0,d5cd55,144,1,90,180
258.839046939184,2.5,Base,0,d5cd55,144,1,90,180
194.621533177229,2.5,Base,0,d5cd55,144,1,90,180
209.148702421343,2.5,Base,0,d5cd55,144,1,90,180
241.003110181204,2.5,Base,0,d5cd55,144,1,90,180
165.125678706452,2.5,Base,0,d5cd55,144,1,90,180
314.077999306608,2.5,Base,0,d5cd55,144,1,90,180
113.389133107228,2.5,Base,0,d5cd55,144,1,90,180
219.172373759016,2.5,Base,0,d5cd55,144,1,90,180
228.57365167692,2.5,Base,0,d5cd55,144,1,90,180
270.40812149938,2.5,Base,0,d5cd55,144,1,90,180
144.314380369472,2.5,Base,0,d5cd55,144,1,90,180
306.772410562381,2.5,Base,0,d5cd55,144,1,90,180
259.782226135087,2.5,Base,0,d5cd55,144,1,90,180
271.300338956864,2.5,Base,0,d5cd55,144,1,90,180
262.138410920525,2.5,Base,0,d5cd55,144,1,90,180
397.413283905981,2.5,Base,0,d5cd55,144,1,90,180
180.171055518298,2.5,Base,0,d5cd55,144,1,90,180
492.225178110327,2.5,Base,0,d5cd55,144,1,90,180
189.172475243549,2.5,Base,0,d5cd55,144,1,90,180
121.725416523582,2.5,Base,0,d5cd55,144,1,90,180
351.464200415513,2.5,Base,0,d5cd55,144,1,90,180
231.571334465815,2.5,Base,0,d5cd55,144,1,90,180
133.967499277847,2.5,Base,0,d5cd55,144,1,90,180
115.475391219835,2.5,Base,0,d5cd55,144,1,90,180
177.011962678194,2.5,Base,0,d5cd55,144,1,90,180
192.428079692404,2.5,Base,0,d5cd55,144,1,90,180
165.621789240513,2.5,Base,0,d5cd55,144,1,90,180
145.900483080127,2.5,Base,0,d5cd55,144,1,90,180
194.427876265426,2.5,Base,0,d5cd55,144,1,90,180
405.5258479201,2.5,Base,0,d5cd55,144,1,90,180
321.640382074057,2.5,Base,0,d5cd55,144,1,90,180
432.102568101683,2.5,Base,0,d5cd55,144,1,90,180
356.626947589468,2.5,Base,0,d5cd55,144,1,90,180
266.123732837738,2.5,Base,0,d5cd55,144,1,90,180
274.170633625696,2.5,Base,0,d5cd55,144,1,90,180
195.637114665753,2.5,Base,0,d5cd55,144,1,90,180
531.581638934377,2.5,Base,0,d5cd55,144,1,90,180
257.835693616646,2.5,Base,0,d5cd55,144,1,90,180
230.921046688643,2.5,Base,0,d5cd55,144,1,90,180
232.545953245995,2.5,Base,0,d5cd55,144,1,90,180
240.291559495818,2.5,Base,0,d5cd55,144,1,90,180
222.650086536566,2.5,Base,0,d5cd55,144,1,90,180
168.257671711755,2.5,Base,0,d5cd55,144,1,90,180
199.448893087344,2.5,Base,0,d5cd55,144,1,90,180
242.299062358962,2.5,Base,0,d5cd55,144,1,90,180
252.483102099072,2.5,Base,0,d5cd55,144,1,90,180
333.640778976769,2.5,Base,0,d5cd55,144,1,90,180
263.774880914612,2.5,Base,0,d5cd55,144,1,90,180
200.206612164783,2.5,Base,0,d5cd55,144,1,90,180
161.577932438121,2.5,Base,0,d5cd55,144,1,90,180
248.290046821807,2.5,Base,0,d5cd55,144,1,90,180
333.535888574899,2.5,Base,0,d5cd55,144,1,90,180
324.0680449131,2.5,Base,0,d5cd55,144,1,90,180
221.42498806513,2.5,Base,0,d5cd55,144,1,90,180
186.739618923428,2.5,Base,0,d5cd55,144,1,90,180
